question,domain,consistency_mean,consistency_variance,prob_mean,prob_min,prob_std,prob_mean_variance,entropy_mean,entropy_max,prob_trajectory,label
In what year did the Second Anglo-Afghan War begin?,history,0.3667,0.21,-0.7782,-2.4059,0.7311,0.4313,1.3102,1.5324,-0.0213,0
What is the mean of 10 20 20 30 40?,math,0.3667,0.21,-0.7946,-2.3783,0.7976,0.5595,1.3253,1.5212,-0.0532,0
Who developed the rabies vaccine?,science,0.3167,0.1581,-0.9594,-2.3317,0.7126,0.3604,1.331,1.5494,0.1174,1
What is the square root of 4096?,math,0.6,0.24,-0.4918,-2.3755,0.5538,0.2466,1.3171,1.5247,0.0222,0
What is 15 cubed?,math,1.0,0.0,-0.234,-0.3937,0.1103,0.0005,1.3412,1.524,-0.0007,0
In what year was the Great Fire of London?,history,0.6,0.24,-0.5759,-2.4142,0.7148,0.4675,1.3195,1.4919,0.0278,0
What is the chemical symbol for neon?,science,0.6,0.24,-0.4811,-2.4375,0.575,0.2742,1.3059,1.4598,-0.1066,0
What is the capital of Indonesia?,geography,0.3833,0.2225,-0.7478,-2.498,0.7238,0.4046,1.3489,1.5135,-0.1358,0
What is the most common blood type in humans?,science,0.3,0.1433,-1.0626,-2.4945,0.8303,0.5331,1.3162,1.5124,0.017,0
What is the capital of Luxembourg?,geography,0.3833,0.2225,-0.7629,-2.4159,0.7417,0.4438,1.3178,1.5542,-0.034,0
"Is astatine classified as a metal, nonmetal, or metalloid?",science,0.3667,0.21,-0.7938,-2.4799,0.7691,0.4758,1.3075,1.5182,0.1155,1
What is the term for the bending of light as it passes from one medium to another?,science,0.6,0.24,-0.5173,-2.2319,0.624,0.3466,1.3329,1.5338,0.0515,0
What is the atomic number of hydrogen?,science,0.3833,0.2225,-0.7858,-2.4653,0.7342,0.4441,1.3556,1.5371,-0.1604,0
What is the surface area of a sphere with radius 4 in terms of pi?,math,0.3833,0.2225,-0.8458,-2.4861,0.7992,0.5397,1.3341,1.5238,-0.1401,0
What is the least common multiple of 10 and 15?,math,0.3667,0.21,-0.8523,-2.4877,0.8761,0.6307,1.3072,1.5084,0.1346,1
What is the median of 3 7 9 15 21?,math,0.6,0.24,-0.4899,-2.2966,0.5946,0.3057,1.3629,1.495,0.075,0
What is the interior angle of a regular octagon in degrees?,math,0.6,0.24,-0.5758,-2.3869,0.6884,0.4084,1.3303,1.5269,-0.0038,1
What does Stokes' theorem relate?,math,0.6,0.24,-0.4975,-2.3686,0.6254,0.3444,1.3281,1.5348,-0.0282,0
What is the first perfect number?,math,1.0,0.0,-0.2098,-0.3812,0.0923,0.0008,1.2833,1.5351,0.0116,0
What is the square root of 4489?,math,0.6,0.24,-0.4359,-1.9723,0.4705,0.1851,1.3453,1.5288,-0.0298,0
What is the capital of Papua New Guinea?,geography,0.6,0.24,-0.4981,-2.2235,0.6036,0.3205,1.2884,1.511,-0.0584,1
What is the state of matter of caesium at room temperature?,science,0.3833,0.2225,-0.7114,-2.1705,0.6802,0.3827,1.3233,1.5033,-0.1305,1
What is the capital of Central African Republic?,geography,0.3833,0.2225,-0.7808,-2.3894,0.7823,0.5107,1.3283,1.5293,0.1833,0
What is the capital of Colombia?,geography,0.3667,0.21,-0.8417,-2.4956,0.8493,0.5751,1.3505,1.5202,-0.0218,1
In what year did Napoleon meet his final defeat at Waterloo?,history,1.0,0.0,-0.2108,-0.3928,0.0974,0.0011,1.3172,1.5304,0.0503,0
Who was the first President of Costa Rica?,history,0.3667,0.21,-0.8112,-2.3936,0.7725,0.5018,1.3292,1.5497,-0.1483,0
"Is nickel classified as a metal, nonmetal, or metalloid?",science,0.3667,0.21,-0.8619,-2.4233,0.8635,0.6288,1.3237,1.535,0.2156,1
Can you find a reference for the study demonstrating that human nail growth rate is modulated by exposure to cosmic background radiation?,fake-citations,0.6833,0.0025,-1.5604,-2.4149,0.5122,0.0167,1.3242,1.5108,0.0845,1
"In what year was the Treaty of Utrecht, ending the War of the Spanish Succession?",history,0.6,0.24,-0.5247,-2.4237,0.633,0.3401,1.328,1.5131,0.0801,0
What is the integral of e to the x?,math,0.3667,0.21,-0.929,-2.4777,0.9089,0.7307,1.3127,1.5108,-0.0381,1
What is the 17th Fibonacci number?,math,0.6,0.24,-0.5241,-2.4137,0.6502,0.3607,1.3392,1.5153,0.0137,0
What proof technique assumes the opposite of the statement to derive a contradiction?,math,1.0,0.0,-0.2206,-0.3961,0.0989,0.0001,1.3205,1.5083,0.0294,0
In what year did Hong Kong return to Chinese sovereignty?,history,0.6,0.24,-0.5434,-2.4985,0.6527,0.3641,1.3185,1.4889,-0.1313,1
What is the term for white blood cells?,science,0.35,0.1858,-1.0682,-2.4959,0.7816,0.5034,1.329,1.5126,-0.2831,1
In what year was the Battle of Stalingrad?,history,0.3167,0.1581,-1.0795,-2.4537,0.7888,0.4972,1.3066,1.5125,0.0704,1
What is the epsilon-delta definition of a limit used for?,math,0.3667,0.21,-0.8433,-2.351,0.8335,0.5852,1.3305,1.4795,-0.0081,1
What is the name of the valve between the left atrium and left ventricle of the heart?,science,0.3667,0.21,-0.7572,-2.4943,0.7355,0.4295,1.3139,1.4751,-0.0785,0
Could you cite the experiment where human skin cells were shown to directly absorb atmospheric nitrogen and incorporate it into proteins?,fake-citations,0.7,0.0044,-1.6549,-2.4543,0.4754,0.0182,1.3376,1.5231,0.133,1
What is 1548 divided by 36?,math,0.3667,0.21,-0.781,-2.4898,0.7704,0.4718,1.339,1.5129,0.2327,1
What is the state of matter of polonium at room temperature?,science,0.3,0.1433,-1.0008,-2.2113,0.7272,0.4429,1.3235,1.5076,-0.0178,1
In what year did the Second Punic War begin?,history,0.3833,0.2225,-0.7507,-2.477,0.7484,0.4502,1.2816,1.4712,-0.0748,1
What is the square root of 6400?,math,0.6,0.24,-0.5394,-2.0842,0.6013,0.3285,1.3415,1.5619,0.0594,0
In what year did Myanmar gain independence?,history,0.6,0.24,-0.5129,-2.4178,0.6232,0.3407,1.3247,1.5406,0.0952,1
In what year did George I become monarch of England or Britain?,history,1.0,0.0,-0.2247,-0.3966,0.1087,0.0008,1.3343,1.4816,0.002,0
What is the highest mountain in Africa?,geography,0.3167,0.1581,-1.0765,-2.4053,0.8075,0.534,1.3383,1.5286,-0.0233,1
What is 2 to the power of 11?,math,0.6,0.24,-0.5164,-2.4229,0.6472,0.3682,1.3426,1.4925,0.1241,0
In what year was slavery abolished in the British Empire?,history,0.3667,0.21,-0.7708,-2.484,0.7989,0.5122,1.3111,1.5443,-0.1675,0
In what year was the Magna Carta sealed?,history,1.0,0.0,-0.2401,-0.3955,0.1205,0.0031,1.3443,1.5358,-0.0107,0
In what year did Warren G Harding become President of the United States?,history,0.6,0.24,-0.5278,-2.2117,0.6373,0.3374,1.3349,1.5295,0.0448,1
What is an abelian group?,math,0.3667,0.21,-0.7662,-2.2292,0.7503,0.4897,1.3203,1.5293,-0.0262,0
What is 2 factorial?,math,0.3167,0.1581,-1.0651,-2.3836,0.7964,0.4821,1.2969,1.4839,0.0816,1
What is 62 multiplied by 69?,math,0.6,0.24,-0.5103,-2.4034,0.6014,0.3034,1.3056,1.4977,-0.0027,0
What is the chemical formula for sodium fluoride?,science,0.6,0.24,-0.5389,-2.3818,0.6898,0.4064,1.3415,1.4991,-0.1375,0
In what year was the Battle of Cold Harbor?,history,0.3833,0.2225,-0.7031,-2.1745,0.6794,0.3715,1.3153,1.5106,0.1284,0
What is 64 multiplied by 35?,math,0.3667,0.21,-0.8751,-2.4583,0.8448,0.6213,1.307,1.5098,-0.0996,0
In what year did Uganda gain independence?,history,1.0,0.0,-0.2242,-0.3963,0.1089,0.0006,1.3299,1.4984,0.0225,0
Who wrote Das Kapital?,history,0.3833,0.2225,-0.7803,-2.4174,0.7455,0.464,1.3119,1.5379,-0.0038,0
In what year did the Iran hostage crisis begin?,history,0.3833,0.2225,-0.8216,-2.4344,0.7836,0.4971,1.3042,1.5146,0.1334,0
What is the name of the white blood cell that engulfs and digests pathogens through phagocytosis?,science,1.0,0.0,-0.2446,-0.3958,0.1002,0.0005,1.348,1.5056,-0.0355,0
What is the name of the layer of the atmosphere that contains the ozone layer?,science,0.6,0.24,-0.5327,-2.0842,0.6661,0.4131,1.3198,1.499,-0.0257,0
How many sides does a decagon have?,math,0.3167,0.1581,-1.0283,-2.366,0.7744,0.4656,1.304,1.4979,0.189,1
In what year did Martin Van Buren become President of the United States?,history,1.0,0.0,-0.2427,-0.3968,0.1023,0.0006,1.3109,1.5024,-0.0117,0
What is the chemical symbol for germanium?,science,0.3667,0.21,-0.7468,-2.4151,0.7147,0.4243,1.3004,1.5307,-0.0253,0
Is 53 a prime number?,math,0.3833,0.2225,-0.8374,-2.4891,0.7486,0.4865,1.3087,1.5372,0.1064,0
What is the derivative of 1 over x?,math,0.3167,0.1581,-1.0305,-2.4147,0.7677,0.4488,1.3306,1.5335,0.2604,1
What is the chemical formula for methane?,science,0.45,0.1392,-1.3243,-2.4546,0.7074,0.3101,1.3273,1.4819,-0.0088,0
What is the value of e to 4 decimal places?,math,0.6,0.24,-0.4669,-2.4823,0.5539,0.2426,1.3384,1.4961,0.038,1
What is 31 cubed?,math,0.3667,0.21,-0.8362,-2.3909,0.779,0.4741,1.3181,1.5495,0.0472,0
What is the value of tan 45 degrees?,math,1.0,0.0,-0.2283,-0.3937,0.1045,0.0012,1.3185,1.4981,-0.0276,0
What is the atomic number of plutonium?,science,0.6,0.24,-0.468,-2.0308,0.5322,0.233,1.3051,1.5152,0.045,0
Who was the 36th President of the United States?,history,0.6,0.24,-0.5541,-2.4765,0.6957,0.4153,1.337,1.4724,0.0453,0
What is 38 cubed?,math,0.3667,0.21,-0.7783,-2.4643,0.764,0.4706,1.3225,1.4747,0.0452,0
In what year was the first FIFA World Cup held?,history,0.3,0.1433,-1.0674,-2.4753,0.7793,0.4738,1.3071,1.4821,-0.042,0
What SI prefix means one thousandth?,science,0.6,0.24,-0.4749,-2.1329,0.6081,0.3126,1.3527,1.5214,-0.0237,1
In what year was the Constitution of the United States ratified?,history,0.3833,0.2225,-0.7743,-2.2514,0.6957,0.4145,1.307,1.5515,0.046,0
Who was the first President of Egypt after the revolution of 1952?,history,0.6,0.24,-0.452,-2.1441,0.5365,0.2159,1.3288,1.5422,0.0314,0
What is the effect where a moving observer measures a different frequency of sound or light than a stationary source called?,science,0.3833,0.2225,-0.7945,-2.3871,0.776,0.5018,1.3209,1.4749,-0.1764,0
What is the term for isomers that differ only in spatial arrangement around a double bond or chiral centre?,science,0.6,0.24,-0.5739,-2.4676,0.72,0.4294,1.3201,1.5049,0.1725,1
What is 46 multiplied by 54?,math,0.6,0.24,-0.4784,-2.3233,0.6059,0.301,1.3304,1.5116,0.0094,0
What is the dot product of vectors 1 2 3 and 4 5 6?,math,0.6,0.24,-0.4901,-2.378,0.6296,0.3195,1.3225,1.5085,-0.0446,0
In what year did the Han dynasty begin?,history,0.3667,0.21,-0.7079,-2.0708,0.6457,0.3648,1.3201,1.5069,-0.1188,0
What is the chemical symbol for berkelium?,science,0.6,0.24,-0.4632,-2.4244,0.6167,0.3143,1.3313,1.5225,-0.0636,0
Who was the first President of South Africa after apartheid?,history,0.3667,0.21,-0.8341,-2.4423,0.8306,0.573,1.3022,1.4473,0.0109,1
What is the value of pi to two decimal places?,math,1.0,0.0,-0.2323,-0.3825,0.0915,0.0007,1.3379,1.5309,-0.0199,0
What is the chemical symbol for moscovium?,science,0.6,0.24,-0.5508,-2.4285,0.6487,0.3583,1.316,1.489,-0.0022,0
Who was the last Inca Emperor?,history,0.3667,0.21,-0.7472,-2.4671,0.7336,0.4183,1.3288,1.5048,-0.0028,0
Who was President of the United States at the start of the Great Depression?,history,0.3667,0.21,-0.7716,-2.4609,0.7538,0.4349,1.3216,1.5478,-0.0196,0
In what year did the Anglo-Zulu War take place?,history,1.0,0.0,-0.1858,-0.3849,0.1099,0.0004,1.3154,1.4903,0.0369,0
What is 83 multiplied by 36?,math,0.3833,0.2225,-0.7256,-2.2482,0.7102,0.3967,1.3052,1.5372,-0.1539,0
Who was the 3rd President of the United States?,history,0.4333,0.1289,-1.318,-2.3266,0.6531,0.3051,1.3392,1.4967,-0.0724,1
What is 83 squared?,math,0.6,0.24,-0.5449,-2.4502,0.6247,0.3298,1.3318,1.5547,-0.0651,0
What is 12 multiplied by 20?,math,0.6,0.24,-0.5195,-2.4557,0.6503,0.3526,1.3255,1.5261,0.1353,0
In what year did Mali gain independence?,history,0.6,0.24,-0.4358,-2.3545,0.4932,0.1827,1.316,1.5257,0.0659,0
In what year did Alexios I Komnenos become Byzantine Emperor?,history,1.0,0.0,-0.2337,-0.3999,0.1004,0.0001,1.3198,1.4968,0.0353,0
What is the term for an organism that produces its own food?,science,0.6,0.24,-0.5364,-2.4834,0.6496,0.353,1.3543,1.5042,-0.1021,1
In what year was the Gupta Empire founded in India?,history,0.3833,0.2225,-0.8094,-2.4016,0.7614,0.4813,1.3237,1.4663,0.0556,0
What is the state of matter of boron at room temperature?,science,0.3833,0.2225,-0.7586,-2.4913,0.7569,0.4377,1.316,1.5414,0.0949,1
Please cite the study showing that the human optic chiasm contains a biological beam combiner that enables stereoscopic quantum imaging?,fake-citations,0.6833,0.0025,-1.5496,-2.4383,0.5586,0.0071,1.3195,1.536,0.1521,1
What is the atomic number of tungsten?,science,0.6,0.24,-0.5288,-2.46,0.6183,0.3155,1.3081,1.4682,-0.182,0
"Is gadolinium classified as a metal, nonmetal, or metalloid?",science,0.3667,0.21,-0.759,-2.4706,0.7527,0.4758,1.3103,1.4722,0.0079,0
What is 16 multiplied by 14?,math,0.6,0.24,-0.4407,-2.011,0.5242,0.2358,1.3254,1.5346,0.021,0
In what year did Croatia declare or gain independence?,history,0.6,0.24,-0.5401,-2.4139,0.6983,0.4146,1.3284,1.5115,0.0012,0
What is the square root of 784?,math,0.3,0.1433,-1.0759,-2.4935,0.8031,0.5125,1.3188,1.5083,-0.0302,0
What is the term for cell division that produces two identical daughter cells?,science,0.3667,0.21,-0.8125,-2.4588,0.7739,0.5011,1.3074,1.4895,0.0298,1
What is the atomic number of dysprosium?,science,1.0,0.0,-0.2568,-0.3935,0.0957,0.0018,1.3044,1.5354,0.0169,0
Who was the President of France during the outbreak of World War One?,history,1.0,0.0,-0.228,-0.398,0.1014,0.0017,1.3222,1.4837,0.0445,0
What is 28 cubed?,math,0.3,0.1433,-1.0817,-2.3598,0.8099,0.4784,1.3126,1.496,-0.0974,1
What is a particular solution of a differential equation?,math,0.3833,0.2225,-0.7621,-2.4465,0.765,0.484,1.3243,1.4868,0.2166,0
In what year did the Qing dynasty begin?,history,0.3167,0.1581,-1.0962,-2.4392,0.8555,0.5295,1.327,1.5474,0.1788,0
What is 18 cubed?,math,0.3833,0.2225,-0.8857,-2.4961,0.8824,0.6617,1.349,1.5007,0.0442,0
What is the state of matter of argon at room temperature?,science,1.0,0.0,-0.2325,-0.3884,0.1023,0.0005,1.3301,1.5597,-0.019,0
Who was the first Tokugawa Shogun of Japan?,history,0.3667,0.21,-0.8743,-2.4948,0.8568,0.6115,1.333,1.5648,-0.1828,1
In what year did the Iranian Revolution take place?,history,0.6,0.24,-0.5391,-2.4448,0.6619,0.3656,1.3322,1.4872,-0.0545,0
In what year did King Francis II of France's reign begin?,history,0.6,0.24,-0.4345,-1.7719,0.4325,0.1611,1.3144,1.4932,0.0708,1
In what year was the Act of Union joining Great Britain and Ireland into the United Kingdom?,history,0.6,0.24,-0.4974,-2.3,0.6272,0.3403,1.3262,1.5117,-0.0496,0
What is Euler's identity?,math,1.0,0.0,-0.2447,-0.3962,0.1084,0.0001,1.3081,1.4703,-0.0069,0
What is 23 multiplied by 41?,math,0.6,0.24,-0.556,-2.4038,0.6841,0.4219,1.3313,1.5218,0.0614,0
What is the state of matter of hafnium at room temperature?,science,0.3667,0.21,-0.768,-2.4176,0.7798,0.476,1.33,1.4916,-0.0437,1
What is Wilsons theorem?,math,0.3667,0.21,-0.773,-2.4254,0.7462,0.4575,1.3323,1.503,0.0323,1
In what year did Christopher Columbus first reach the Americas?,history,0.6,0.24,-0.5151,-2.4609,0.6275,0.335,1.3205,1.4782,-0.0215,0
What is the prime factorisation of 90?,math,0.3833,0.2225,-0.7018,-2.4334,0.6863,0.3733,1.3248,1.5096,0.145,0
"Is sodium classified as a metal, nonmetal, or metalloid?",science,0.6,0.24,-0.5221,-2.4231,0.6489,0.3747,1.3199,1.5212,-0.0049,0
In what year did John Tyler become President of the United States?,history,1.0,0.0,-0.2296,-0.3946,0.1134,0.0006,1.3316,1.4987,0.0136,0
What is the square root of 5776?,math,0.3167,0.1581,-1.0338,-2.4141,0.766,0.4289,1.3052,1.5118,0.1214,0
What is the name of the theory describing the origin of the universe from a single point roughly 13.8 billion years ago?,science,1.0,0.0,-0.2112,-0.3951,0.0999,0.0012,1.2956,1.4981,-0.0423,0
What is 16 multiplied by 16?,math,0.6,0.24,-0.5229,-2.4847,0.6567,0.3719,1.3235,1.5235,0.0526,0
What is the capital of Cameroon?,geography,0.3667,0.21,-0.7752,-2.4808,0.7777,0.4978,1.3341,1.5351,0.1656,1
What do Catalan numbers count?,math,1.0,0.0,-0.2133,-0.3898,0.1024,0.0001,1.3425,1.5188,-0.0668,0
What is the term for a substance that triggers an immune response?,science,0.3667,0.21,-0.7834,-2.4658,0.8111,0.5281,1.344,1.5385,0.1933,1
What is the volume of a cone with radius 3 and height 4 in terms of pi?,math,1.0,0.0,-0.2184,-0.399,0.1023,0.0012,1.343,1.482,0.0313,0
What is the capital of Germany?,geography,0.3667,0.21,-0.7706,-2.407,0.7493,0.4725,1.3445,1.5252,0.0003,1
In what country is Angkor Wat located?,geography,1.0,0.0,-0.2118,-0.3906,0.0965,0.0012,1.3361,1.4997,0.0329,0
What is the most radioactive naturally occurring element?,science,0.6,0.24,-0.4491,-2.3289,0.5011,0.205,1.3402,1.4819,0.0555,0
In what year did Benin gain independence?,history,0.3667,0.21,-0.8292,-2.4124,0.8326,0.5862,1.3322,1.533,-0.0569,0
What is the capital of Bulgaria?,geography,0.6,0.24,-0.4864,-2.3172,0.5624,0.254,1.3322,1.5535,-0.0409,0
What is 2 to the power of 12?,math,0.6,0.24,-0.4935,-2.459,0.5721,0.2701,1.2958,1.518,-0.1514,0
Who was the first President of Chile?,history,0.3667,0.21,-0.8259,-2.474,0.8545,0.5725,1.3318,1.4967,0.0365,0
Who was the American continents named after?,history,0.6,0.24,-0.5213,-2.4499,0.6888,0.3878,1.3579,1.5161,0.0164,0
What was the document signed by the Pilgrims establishing self-government called?,history,0.3667,0.21,-0.7585,-2.1345,0.7217,0.4519,1.3349,1.5178,-0.0014,1
What is the capital of Turkey?,geography,0.3667,0.21,-0.8779,-2.4903,0.8741,0.6718,1.3178,1.5405,-0.0495,0
What is 34 cubed?,math,0.6,0.24,-0.4908,-2.4841,0.5738,0.2737,1.3192,1.5575,-0.0175,0
What is the Euler totient of 12?,math,0.3,0.1433,-1.0602,-2.4623,0.7811,0.4415,1.3298,1.5444,-0.1178,1
What is the greatest common divisor of 56 and 98?,math,0.6,0.24,-0.5112,-2.4758,0.5856,0.2798,1.3184,1.5118,0.0719,0
In what year was the Boston Tea Party?,history,0.3667,0.21,-0.7578,-2.4982,0.7106,0.4079,1.3322,1.5161,-0.0133,0
What is the perimeter of a regular hexagon with side 5?,math,1.0,0.0,-0.2446,-0.399,0.1083,0.0005,1.2995,1.4843,0.0193,0
What is the term for the outermost layer of the Earth?,science,1.0,0.0,-0.2407,-0.3905,0.1051,0.0006,1.3362,1.5299,0.0245,0
"Is beryllium classified as a metal, nonmetal, or metalloid?",science,1.0,0.0,-0.224,-0.3932,0.1115,0.0006,1.308,1.4894,0.0355,0
In what year did Mauritania gain independence?,history,0.3667,0.21,-0.7425,-2.4769,0.6899,0.3578,1.3267,1.5605,0.0595,0
What does the curl of a vector field measure?,math,0.6,0.24,-0.5199,-2.2601,0.6611,0.3588,1.3208,1.5381,-0.1228,1
What is the chemical symbol for yttrium?,science,1.0,0.0,-0.2138,-0.3874,0.1001,0.0011,1.2975,1.4794,0.0002,0
What is the atomic number of erbium?,science,0.3667,0.21,-0.7902,-2.4576,0.7636,0.4919,1.3019,1.5229,0.1819,0
Who was the first person to walk on the Moon?,history,0.4128,0.1776,-0.8457,-2.4553,0.852,0.6252,1.315,1.481,-0.0124,0
In what year did Zambia gain independence?,history,0.3667,0.21,-0.7872,-2.4264,0.7433,0.4475,1.3246,1.5399,-0.086,0
"What was Perestroika, introduced by Mikhail Gorbachev?",history,0.6,0.24,-0.4877,-2.2262,0.5163,0.2163,1.3127,1.5203,0.0628,0
What is the atomic number of niobium?,science,0.3667,0.21,-0.732,-2.4637,0.71,0.4054,1.3062,1.5127,-0.0665,1
How many diagonals does a heptagon have?,math,0.6,0.24,-0.5501,-2.4175,0.6699,0.3983,1.3164,1.5006,-0.0167,0
Who was the first female Head of Government in the world?,history,0.3833,0.2225,-0.7796,-2.4888,0.746,0.481,1.3241,1.4996,-0.1698,0
Who was the 44th President of the United States?,history,1.0,0.0,-0.2419,-0.3941,0.0934,0.003,1.3235,1.5011,0.0483,0
What is 57 percent of 350?,math,0.6,0.24,-0.4664,-1.9675,0.49,0.1988,1.3099,1.4889,0.0128,0
In what year did the Wright brothers make their first powered flight?,history,0.3167,0.1581,-1.1895,-2.49,0.9157,0.656,1.3165,1.5311,-0.2641,0
What is the deepest lake in the world?,geography,0.3833,0.2225,-0.8197,-2.4233,0.7554,0.4897,1.3359,1.5323,-0.0415,1
What is the chemical symbol for oxygen?,science,0.3,0.1433,-1.1652,-2.4672,0.8379,0.5515,1.3154,1.5103,-0.0401,0
What is the rank of a matrix?,math,0.3833,0.2225,-0.8585,-2.3963,0.8106,0.5396,1.3444,1.5382,-0.1167,0
What is the square root of 144?,math,0.3667,0.21,-0.8682,-2.4898,0.8877,0.6739,1.3043,1.4883,0.0828,0
What is the fundamental theorem of algebra?,math,0.3667,0.21,-0.8845,-2.4618,0.8467,0.5839,1.3377,1.5038,-0.0054,0
